Time,Open,High,Low,Close,Volume,Symbol
2025-05-20 17:30:00,15.568,15.573,15.518,15.519,2412.0,LINKUSDT_UMCBL
2025-05-20 17:35:00,15.519,15.542,15.505,15.505,2518.0,LINKUSDT_UMCBL
2025-05-20 17:40:00,15.505,15.557,15.503,15.557,3218.0,LINKUSDT_UMCBL
2025-05-20 17:45:00,15.557,15.592,15.557,15.591,2942.0,LINKUSDT_UMCBL
2025-05-20 17:50:00,15.591,15.652,15.591,15.626,5827.0,LINKUSDT_UMCBL
2025-05-20 17:55:00,15.626,15.626,15.583,15.605,1827.0,LINKUSDT_UMCBL
2025-05-20 18:00:00,15.605,15.605,15.571,15.595,891.0,LINKUSDT_UMCBL
2025-05-20 18:05:00,15.595,15.626,15.59,15.595,2871.0,LINKUSDT_UMCBL
2025-05-20 18:10:00,15.595,15.623,15.593,15.594,1188.0,LINKUSDT_UMCBL
2025-05-20 18:15:00,15.594,15.602,15.516,15.527,4156.0,LINKUSDT_UMCBL
2025-05-20 18:20:00,15.527,15.533,15.434,15.438,9796.0,LINKUSDT_UMCBL
2025-05-20 18:25:00,15.438,15.473,15.377,15.389,10644.0,LINKUSDT_UMCBL
2025-05-20 18:30:00,15.389,15.416,15.346,15.416,9096.0,LINKUSDT_UMCBL
2025-05-20 18:35:00,15.416,15.461,15.415,15.432,1698.0,LINKUSDT_UMCBL
2025-05-20 18:40:00,15.432,15.432,15.365,15.376,1663.0,LINKUSDT_UMCBL
2025-05-20 18:45:00,15.376,15.382,15.288,15.294,10020.0,LINKUSDT_UMCBL
2025-05-20 18:50:00,15.294,15.315,15.261,15.306,16732.0,LINKUSDT_UMCBL
2025-05-20 18:55:00,15.306,15.306,15.25,15.281,6399.0,LINKUSDT_UMCBL
2025-05-20 19:00:00,15.281,15.284,15.25,15.258,4406.0,LINKUSDT_UMCBL
2025-05-20 19:05:00,15.258,15.337,15.258,15.337,4823.0,LINKUSDT_UMCBL
2025-05-20 19:10:00,15.337,15.355,15.32,15.337,3411.0,LINKUSDT_UMCBL
2025-05-20 19:15:00,15.337,15.372,15.316,15.368,3216.0,LINKUSDT_UMCBL
2025-05-20 19:20:00,15.368,15.435,15.368,15.433,16225.0,LINKUSDT_UMCBL
2025-05-20 19:25:00,15.433,15.46,15.422,15.46,4057.0,LINKUSDT_UMCBL
2025-05-20 19:30:00,15.46,15.517,15.451,15.51,6289.0,LINKUSDT_UMCBL
2025-05-20 19:35:00,15.51,15.511,15.47,15.472,1033.0,LINKUSDT_UMCBL
2025-05-20 19:40:00,15.472,15.514,15.472,15.514,1853.0,LINKUSDT_UMCBL
2025-05-20 19:45:00,15.514,15.558,15.502,15.553,1522.0,LINKUSDT_UMCBL
2025-05-20 19:50:00,15.553,15.595,15.551,15.583,3526.0,LINKUSDT_UMCBL
2025-05-20 19:55:00,15.583,15.683,15.579,15.613,6460.0,LINKUSDT_UMCBL
2025-05-20 20:00:00,15.613,15.613,15.507,15.54,9603.0,LINKUSDT_UMCBL
2025-05-20 20:05:00,15.54,15.56,15.531,15.56,3789.0,LINKUSDT_UMCBL
2025-05-20 20:10:00,15.56,15.623,15.56,15.571,4673.0,LINKUSDT_UMCBL
2025-05-20 20:15:00,15.571,15.61,15.515,15.601,2849.0,LINKUSDT_UMCBL
2025-05-20 20:20:00,15.601,15.606,15.559,15.559,2223.0,LINKUSDT_UMCBL
2025-05-20 20:25:00,15.559,15.571,15.537,15.571,213.0,LINKUSDT_UMCBL
2025-05-20 20:30:00,15.571,15.586,15.56,15.583,987.0,LINKUSDT_UMCBL
2025-05-20 20:35:00,15.583,15.652,15.576,15.603,2352.0,LINKUSDT_UMCBL
2025-05-20 20:40:00,15.603,15.634,15.597,15.629,2679.0,LINKUSDT_UMCBL
2025-05-20 20:45:00,15.629,15.742,15.629,15.734,6289.0,LINKUSDT_UMCBL
2025-05-20 20:50:00,15.734,15.743,15.691,15.694,5689.0,LINKUSDT_UMCBL
2025-05-20 20:55:00,15.694,15.706,15.673,15.689,2871.0,LINKUSDT_UMCBL
2025-05-20 21:00:00,15.689,15.774,15.689,15.759,3609.0,LINKUSDT_UMCBL
2025-05-20 21:05:00,15.759,15.821,15.744,15.821,2165.0,LINKUSDT_UMCBL
2025-05-20 21:10:00,15.821,15.821,15.659,15.66,2435.0,LINKUSDT_UMCBL
2025-05-20 21:15:00,15.66,15.7,15.66,15.681,1401.0,LINKUSDT_UMCBL
2025-05-20 21:20:00,15.681,15.75,15.661,15.732,648.0,LINKUSDT_UMCBL
2025-05-20 21:25:00,15.732,15.758,15.63,15.63,2302.0,LINKUSDT_UMCBL
2025-05-20 21:30:00,15.63,15.668,15.584,15.657,6119.0,LINKUSDT_UMCBL
2025-05-20 21:35:00,15.657,15.698,15.643,15.667,5637.0,LINKUSDT_UMCBL
2025-05-20 21:40:00,15.667,15.677,15.638,15.66,1122.0,LINKUSDT_UMCBL
2025-05-20 21:45:00,15.66,15.705,15.66,15.704,1729.0,LINKUSDT_UMCBL
2025-05-20 21:50:00,15.704,15.733,15.704,15.733,7295.0,LINKUSDT_UMCBL
2025-05-20 21:55:00,15.733,15.759,15.71,15.712,8509.0,LINKUSDT_UMCBL
2025-05-20 22:00:00,15.712,15.757,15.688,15.688,5382.0,LINKUSDT_UMCBL
2025-05-20 22:05:00,15.688,15.688,15.642,15.654,9642.0,LINKUSDT_UMCBL
2025-05-20 22:10:00,15.654,15.684,15.609,15.628,22645.0,LINKUSDT_UMCBL
2025-05-20 22:15:00,15.628,15.628,15.58,15.586,2327.0,LINKUSDT_UMCBL
2025-05-20 22:20:00,15.586,15.586,15.528,15.545,3576.0,LINKUSDT_UMCBL
2025-05-20 22:25:00,15.545,15.599,15.545,15.599,2159.0,LINKUSDT_UMCBL
2025-05-20 22:30:00,15.599,15.605,15.568,15.576,1255.0,LINKUSDT_UMCBL
2025-05-20 22:35:00,15.576,15.576,15.534,15.558,977.0,LINKUSDT_UMCBL
2025-05-20 22:40:00,15.558,15.622,15.538,15.62,1560.0,LINKUSDT_UMCBL
2025-05-20 22:45:00,15.62,15.626,15.608,15.614,1512.0,LINKUSDT_UMCBL
2025-05-20 22:50:00,15.614,15.624,15.605,15.615,1462.0,LINKUSDT_UMCBL
2025-05-20 22:55:00,15.615,15.661,15.615,15.657,632.0,LINKUSDT_UMCBL
2025-05-20 23:00:00,15.657,15.657,15.628,15.637,2078.0,LINKUSDT_UMCBL
2025-05-20 23:05:00,15.637,15.68,15.637,15.656,6069.0,LINKUSDT_UMCBL
2025-05-20 23:10:00,15.656,15.73,15.656,15.728,596.0,LINKUSDT_UMCBL
2025-05-20 23:15:00,15.728,15.81,15.728,15.794,2281.0,LINKUSDT_UMCBL
2025-05-20 23:20:00,15.794,15.811,15.764,15.769,9898.0,LINKUSDT_UMCBL
2025-05-20 23:25:00,15.769,15.789,15.765,15.787,4151.0,LINKUSDT_UMCBL
2025-05-20 23:30:00,15.787,15.794,15.74,15.74,2754.0,LINKUSDT_UMCBL
2025-05-20 23:35:00,15.74,15.746,15.681,15.697,1428.0,LINKUSDT_UMCBL
2025-05-20 23:40:00,15.697,15.703,15.676,15.679,3524.0,LINKUSDT_UMCBL
2025-05-20 23:45:00,15.679,15.708,15.644,15.708,3869.0,LINKUSDT_UMCBL
2025-05-20 23:50:00,15.708,15.718,15.677,15.677,2226.0,LINKUSDT_UMCBL
2025-05-20 23:55:00,15.677,15.703,15.677,15.699,507.0,LINKUSDT_UMCBL
2025-05-21 00:00:00,15.699,15.751,15.699,15.742,2718.0,LINKUSDT_UMCBL
2025-05-21 00:05:00,15.742,15.742,15.675,15.716,4146.0,LINKUSDT_UMCBL
2025-05-21 00:10:00,15.716,15.772,15.709,15.772,2443.0,LINKUSDT_UMCBL
2025-05-21 00:15:00,15.772,15.801,15.691,15.701,1709.0,LINKUSDT_UMCBL
2025-05-21 00:20:00,15.701,15.701,15.657,15.685,3332.0,LINKUSDT_UMCBL
2025-05-21 00:25:00,15.685,15.715,15.685,15.703,458.0,LINKUSDT_UMCBL
2025-05-21 00:30:00,15.703,15.763,15.701,15.701,973.0,LINKUSDT_UMCBL
2025-05-21 00:35:00,15.701,15.703,15.629,15.643,3355.0,LINKUSDT_UMCBL
2025-05-21 00:40:00,15.643,15.666,15.639,15.657,2198.0,LINKUSDT_UMCBL
2025-05-21 00:45:00,15.657,15.731,15.655,15.706,2778.0,LINKUSDT_UMCBL
2025-05-21 00:50:00,15.706,15.713,15.674,15.699,2485.0,LINKUSDT_UMCBL
2025-05-21 00:55:00,15.699,15.699,15.663,15.675,631.0,LINKUSDT_UMCBL
2025-05-21 01:00:00,15.675,15.68,15.655,15.666,170.0,LINKUSDT_UMCBL
2025-05-21 01:05:00,15.666,15.744,15.659,15.744,4720.0,LINKUSDT_UMCBL
2025-05-21 01:10:00,15.744,15.796,15.728,15.735,1871.0,LINKUSDT_UMCBL
2025-05-21 01:15:00,15.735,15.744,15.7,15.712,996.0,LINKUSDT_UMCBL
2025-05-21 01:20:00,15.712,15.731,15.658,15.658,531.0,LINKUSDT_UMCBL
2025-05-21 01:25:00,15.658,15.684,15.658,15.684,856.0,LINKUSDT_UMCBL
2025-05-21 01:30:00,15.684,15.724,15.684,15.724,674.0,LINKUSDT_UMCBL
2025-05-21 01:35:00,15.724,15.749,15.702,15.719,1787.0,LINKUSDT_UMCBL
2025-05-21 01:40:00,15.719,15.743,15.709,15.709,1020.0,LINKUSDT_UMCBL
2025-05-21 01:45:00,15.709,15.709,15.678,15.694,1028.0,LINKUSDT_UMCBL
2025-05-21 01:50:00,15.694,15.711,15.674,15.674,243.0,LINKUSDT_UMCBL
2025-05-21 01:55:00,15.674,15.676,15.621,15.634,1460.0,LINKUSDT_UMCBL
2025-05-21 02:00:00,15.634,15.638,15.575,15.58,7892.0,LINKUSDT_UMCBL
2025-05-21 02:05:00,15.58,15.588,15.526,15.541,9262.0,LINKUSDT_UMCBL
2025-05-21 02:10:00,15.541,15.587,15.532,15.585,5268.0,LINKUSDT_UMCBL
